Script,Key,LotSize
RELIANCE,QASSUGBXA2SRIW6Q,500
HDFC,YKQLQDUDPDBH7A31,500
HINDUNILVR,VFHRRF16KDXIRWQ6,300
LT,228F0ESUACELY69A,375
HEROMOTOCO,75E0N1E6V0N7S1Y5,200
DRREDDY,W5A7NOD615G2BIDX,250
HDFCBANK,5IGSL32URXF4YTA4,250
ICICIBANK,QA1H5QRKFSTB2S1K,1375
SBIN,10133SUCR6PFLK4G,3000
KOTAKBANK,XHY9SR6MO1EMLCJE,400
AXISBANK,Q5T2WMXZY6OW3PKR,1200
INDUSINDBK,G175XMVIP8WGPWGM,400
TCS,EMUU2D8UTGOE0805,250
WIPRO,IUWNOJIUQ8566BN0,3200
INFY,LGGSHGCGOVO7LKJN,1200
TECHM,JEUWCK05WQ82GT2T,1200
HCLTECH,R3FHL97IWO66OQ58,700
